id,room_id/id,noted_date,temp,out/in
__export__.temp_log_95606_9e6bdcdd,Room Admin,04-11-2018 02:13,37,Out
__export__.temp_log_151291_45ae4d6f,Room Admin,04-11-2018 02:12,31,In
__export__.temp_log_149780_31879c9e,Room Admin,04-11-2018 02:11,37,Out
__export__.temp_log_145685_3558288b,Room Admin,04-11-2018 02:09,38,Out
__export__.temp_log_88947_58fa9488,Room Admin,04-11-2018 02:08,38,Out
__export__.temp_log_88911_37c7efe7,Room Admin,04-11-2018 02:06,31,In
__export__.temp_log_130761_a4658c21,Room Admin,04-11-2018 02:06,38,Out
__export__.temp_log_87967_0d270e65,Room Admin,04-11-2018 02:04,38,Out
__export__.temp_log_87705_7a3018de,Room Admin,04-11-2018 01:58,39,Out
__export__.temp_log_88406_b65dac8a,Room Admin,04-11-2018 01:56,39,Out
__export__.temp_log_139286_f5937f7b,Room Admin,04-11-2018 01:54,40,Out
__export__.temp_log_141228_576d758c,Room Admin,04-11-2018 01:52,41,Out
__export__.temp_log_141455_def825e6,Room Admin,04-11-2018 01:48,40,Out
__export__.temp_log_121415_96b7ebc4,Room Admin,04-11-2018 01:44,39,Out
__export__.temp_log_115171_55abb910,Room Admin,04-11-2018 01:40,39,Out
__export__.temp_log_103863_200b4eaa,Room Admin,04-11-2018 01:38,38,Out
__export__.temp_log_136629_3c9e2375,Room Admin,04-11-2018 01:36,38,Out
__export__.temp_log_138860_2a6a2cbb,Room Admin,04-11-2018 01:34,38,Out
__export__.temp_log_135750_936a28c7,Room Admin,04-11-2018 01:32,40,Out
__export__.temp_log_92198_507107ce,Room Admin,04-11-2018 01:30,40,Out
__export__.temp_log_133338_5a5a8ced,Room Admin,04-11-2018 01:28,40,Out
__export__.temp_log_150442_3f95c224,Room Admin,04-11-2018 01:26,41,Out
__export__.temp_log_132289_f4aba288,Room Admin,04-11-2018 01:24,40,Out
__export__.temp_log_137193_3715f313,Room Admin,04-11-2018 01:22,39,Out
__export__.temp_log_121136_de454b50,Room Admin,04-11-2018 01:20,40,Out
__export__.temp_log_147396_9bf6b615,Room Admin,04-11-2018 01:18,31,In
__export__.temp_log_155061_7315a79e,Room Admin,04-11-2018 01:18,39,Out
__export__.temp_log_121201_f941e57b,Room Admin,04-11-2018 01:12,40,Out
__export__.temp_log_121614_1e22a476,Room Admin,04-11-2018 01:12,31,In
__export__.temp_log_116431_43e141da,Room Admin,04-11-2018 01:10,32,In
__export__.temp_log_105984_90201bfe,Room Admin,04-11-2018 01:08,40,Out
__export__.temp_log_107426_b3bed284,Room Admin,04-11-2018 01:08,31,In
__export__.temp_log_116658_767eb7e1,Room Admin,04-11-2018 01:06,31,In
__export__.temp_log_119698_37d6e6df,Room Admin,04-11-2018 01:06,41,Out
__export__.temp_log_110562_8d9171ac,Room Admin,04-11-2018 01:04,42,Out
__export__.temp_log_93676_140c196d,Room Admin,04-11-2018 01:02,41,Out
__export__.temp_log_148216_9cac05cc,Room Admin,04-11-2018 01:00,42,Out
__export__.temp_log_119871_99f5502c,Room Admin,04-11-2018 00:58,41,Out
__export__.temp_log_148020_3545b819,Room Admin,04-11-2018 00:58,31,In
__export__.temp_log_128361_451e7453,Room Admin,04-11-2018 00:56,42,Out
__export__.temp_log_135321_f4e9ce4b,Room Admin,04-11-2018 00:56,32,In
__export__.temp_log_120309_408dceb0,Room Admin,04-11-2018 00:54,31,In
__export__.temp_log_141738_f1b31768,Room Admin,04-11-2018 00:52,41,Out
__export__.temp_log_152248_564c5b7f,Room Admin,04-11-2018 00:50,41,Out
__export__.temp_log_91975_ce88ac70,Room Admin,04-11-2018 00:48,40,Out
__export__.temp_log_126524_79c5c370,Room Admin,04-11-2018 00:46,41,Out
__export__.temp_log_116388_54cddb93,Room Admin,04-11-2018 00:44,39,Out
__export__.temp_log_140958_fd9f30bc,Room Admin,04-11-2018 00:42,40,Out
__export__.temp_log_107910_bc355d23,Room Admin,04-11-2018 00:42,31,In
__export__.temp_log_130345_3924f7f4,Room Admin,04-11-2018 00:40,40,Out
__export__.temp_log_126947_786c6715,Room Admin,04-11-2018 00:38,41,Out
__export__.temp_log_124237_223c87af,Room Admin,04-11-2018 00:36,42,Out
__export__.temp_log_138622_3d87335c,Room Admin,04-11-2018 00:34,41,Out
__export__.temp_log_107980_d715210e,Room Admin,04-11-2018 00:30,42,Out
__export__.temp_log_98205_7d90d4c4,Room Admin,04-11-2018 00:28,43,Out
__export__.temp_log_102298_f8b1897b,Room Admin,04-11-2018 00:25,31,In
__export__.temp_log_109042_3ca8c773,Room Admin,04-11-2018 00:23,31,In
__export__.temp_log_124879_00a3bd42,Room Admin,04-11-2018 00:22,42,Out
__export__.temp_log_111825_85b75431,Room Admin,04-11-2018 00:21,31,In
__export__.temp_log_104975_02debc9f,Room Admin,04-11-2018 00:10,42,Out
__export__.temp_log_155490_bc4e59b5,Room Admin,04-11-2018 00:08,41,Out
__export__.temp_log_133622_bb13b58c,Room Admin,04-11-2018 00:06,41,Out
__export__.temp_log_101495_5eff48bf,Room Admin,04-11-2018 00:00,42,Out
__export__.temp_log_114660_978ca474,Room Admin,03-11-2018 23:57,31,In
__export__.temp_log_151084_bb65c2f8,Room Admin,03-11-2018 23:55,31,In
__export__.temp_log_151634_3761cd6e,Room Admin,03-11-2018 23:50,42,Out
__export__.temp_log_119240_72ece4fa,Room Admin,03-11-2018 23:48,42,Out
__export__.temp_log_145711_bb5e959b,Room Admin,03-11-2018 23:44,41,Out
__export__.temp_log_112275_76485e32,Room Admin,03-11-2018 23:42,40,Out
__export__.temp_log_106887_6a2eae46,Room Admin,03-11-2018 23:38,41,Out
__export__.temp_log_128149_977608c2,Room Admin,03-11-2018 23:34,42,Out
__export__.temp_log_140668_23e7b242,Room Admin,03-11-2018 23:32,41,Out
__export__.temp_log_148976_92e95471,Room Admin,03-11-2018 23:30,41,Out
__export__.temp_log_154458_1b45be21,Room Admin,03-11-2018 23:28,41,Out
__export__.temp_log_97457_5ba091ad,Room Admin,03-11-2018 23:26,42,Out
__export__.temp_log_153368_e11b80d6,Room Admin,03-11-2018 23:22,42,Out
__export__.temp_log_142832_c0a73b30,Room Admin,03-11-2018 23:20,41,Out
__export__.temp_log_133553_682c70e9,Room Admin,03-11-2018 23:18,41,Out
__export__.temp_log_97749_f0bb8c8f,Room Admin,03-11-2018 23:14,40,Out
__export__.temp_log_118046_9bd2f1d4,Room Admin,03-11-2018 23:12,40,Out
__export__.temp_log_132461_9d565566,Room Admin,03-11-2018 23:10,42,Out
__export__.temp_log_124037_0ddecd13,Room Admin,03-11-2018 23:08,41,Out
__export__.temp_log_153840_725b2221,Room Admin,03-11-2018 23:06,40,Out
__export__.temp_log_89775_9f627969,Room Admin,03-11-2018 23:04,41,Out
__export__.temp_log_151821_22e0a3ee,Room Admin,03-11-2018 23:02,42,Out
__export__.temp_log_134413_9d1c0873,Room Admin,03-11-2018 22:58,43,Out
__export__.temp_log_118021_124d4d88,Room Admin,03-11-2018 22:54,43,Out
__export__.temp_log_114368_648a7243,Room Admin,03-11-2018 22:53,31,In
__export__.temp_log_118834_bb40a5b9,Room Admin,03-11-2018 22:52,42,Out
__export__.temp_log_98415_d6107908,Room Admin,03-11-2018 22:51,32,In
__export__.temp_log_143320_8aad156c,Room Admin,03-11-2018 22:48,43,Out
__export__.temp_log_101692_2fadaf43,Room Admin,03-11-2018 22:44,42,Out
__export__.temp_log_131655_9cec8bc6,Room Admin,03-11-2018 22:40,43,Out
__export__.temp_log_101776_a64a4f5c,Room Admin,03-11-2018 22:38,43,Out
__export__.temp_log_93182_c6e91eb8,Room Admin,03-11-2018 22:36,43,Out
__export__.temp_log_120126_8966d08b,Room Admin,03-11-2018 22:34,43,Out
__export__.temp_log_86673_7f6c9eb7,Room Admin,03-11-2018 22:32,42,Out
__export__.temp_log_134481_919396c2,Room Admin,03-11-2018 22:30,42,Out
__export__.temp_log_94774_1f864548,Room Admin,03-11-2018 22:28,41,Out
__export__.temp_log_89772_799f0dff,Room Admin,03-11-2018 22:26,41,Out
__export__.temp_log_143464_1de68bf9,Room Admin,03-11-2018 22:24,42,Out
__export__.temp_log_131023_d6557658,Room Admin,03-11-2018 22:22,43,Out
__export__.temp_log_88142_0b90a13c,Room Admin,03-11-2018 22:19,31,In
__export__.temp_log_139846_f54f383a,Room Admin,03-11-2018 22:18,42,Out
__export__.temp_log_130287_4682cc19,Room Admin,03-11-2018 22:17,32,In
__export__.temp_log_99482_70432564,Room Admin,03-11-2018 22:16,41,Out
__export__.temp_log_110214_60999180,Room Admin,03-11-2018 22:12,41,Out
__export__.temp_log_113972_c9612f43,Room Admin,03-11-2018 22:08,42,Out
__export__.temp_log_97621_efdeaf14,Room Admin,03-11-2018 22:07,31,In
__export__.temp_log_127631_f1ef774a,Room Admin,29-07-2018 04:28,33,In
__export__.temp_log_93806_c739d2a2,Room Admin,29-07-2018 04:27,31,Out
__export__.temp_log_132246_977e530d,Room Admin,29-07-2018 04:27,32,Out
__export__.temp_log_144522_a4169cec,Room Admin,29-07-2018 04:26,32,In
__export__.temp_log_114978_6b602b7a,Room Admin,29-07-2018 04:26,33,In
__export__.temp_log_135197_268bd332,Room Admin,29-07-2018 04:24,31,Out
__export__.temp_log_89315_1d03c538,Room Admin,29-07-2018 04:24,32,Out
__export__.temp_log_134790_5a9ec293,Room Admin,29-07-2018 04:22,31,Out
__export__.temp_log_120531_82846f92,Room Admin,29-07-2018 04:22,30,Out
__export__.temp_log_139513_c4769aa6,Room Admin,29-07-2018 04:21,31,Out
__export__.temp_log_90034_3526cf8e,Room Admin,29-07-2018 04:21,32,Out
__export__.temp_log_146636_6d032243,Room Admin,29-07-2018 04:19,31,Out
__export__.temp_log_145497_e2477bf1,Room Admin,29-07-2018 04:19,31,Out
